,zoneid,wealth index,crime index
652,60841-26121002500,0.29,-0.45
653,60841-26121001800,-0.52,-0.31
654,60841-26121002400,0.08,-0.05
655,60841-26121002000,-0.8,0.42
656,60841-26121002900,-0.38,-0.63
657,60841-26139021202,-0.42,-0.39
658,60841-26121000100,-1.09,0.67
659,60841-26121000402,-1.61,1.13
660,60841-26139021301,0.03,-0.63
661,60841-26121003500,-0.22,-0.66
662,60841-26121002602,-0.37,-0.15
663,60841-26139021304,0.87,-0.78
664,60841-26121002100,-0.8,1.06
665,60841-26121001600,-0.04,-0.68
666,60841-26121002800,-0.12,0.1
667,60841-26121000401,-1.1,2.13
668,60841-26139020900,-0.23,0.01
669,60841-26121003100,-0.74,-0.51
670,60841-26139020501,-0.43,-0.53
671,60841-26121000500,-1.35,3.2
672,82900-21199930700,-1.13,-0.17
673,82900-21199930401,-1.07,-0.59
674,82900-21199931102,-1.09,-0.47
675,82900-21199930402,-0.21,-0.79
676,82900-21199930501,-0.18,-0.77
677,82900-21199930800,-1.03,-0.7
678,82900-21199931101,-0.66,-0.74
679,82900-21199930502,-0.87,-0.56
680,82900-21199930300,-0.81,-0.76
681,82900-21199930200,-0.86,-0.81
682,82900-21199930600,-0.88,-0.64
683,39079-45013002105,0.5,-0.44
684,39079-45013002103,0.65,-0.66
685,39079-45013002201,1.48,-0.67
686,39079-45013010100,3.07,-0.66
687,39079-45013002106,0.23,-0.47
688,39079-45013011200,0.61,-0.59
689,39079-45013011000,-0.04,-0.45
690,39079-45013002107,0.19,-0.47
691,39079-45013002102,2.54,-0.66
692,39079-45013010900,2.33,-0.72
693,39079-45013010200,1.69,-0.51
694,39079-45013002108,0.4,-0.43
695,39079-45013010800,-1.01,0.04
696,39079-45013010500,0.1,-0.19
697,39079-45013011100,1.64,-0.7
698,39079-45013010300,3.05,-0.55
699,39079-45013010600,1.8,-0.65
700,39079-45013010400,1.61,-0.47
701,39079-45013010700,1.78,-0.49
702,42400-37133000103,-0.15,-0.42
703,42400-37133001800,-0.84,0.67
704,42400-37133000301,-0.89,-0.5
705,42400-37133000202,-0.56,-0.51
706,42400-37133002300,-0.66,-0.11
707,42400-37133001400,0.01,0.02
708,42400-37133001200,-0.54,-0.3
709,42400-37133002500,-0.95,-0.04
710,42400-37133002202,-0.92,1.17
711,42400-37133000302,-0.85,-0.36
712,42400-37133001700,-0.43,0.89
713,42400-37133001101,-0.48,-0.38
714,42400-37133002100,-0.36,-0.24
715,42400-37133000900,-0.91,-0.47
716,42400-37133001000,-0.7,-0.3
717,42400-37133002201,-0.48,0.19
718,42400-37133000700,-0.83,-0.59
719,42400-37133000600,,0.34
720,91027-48309980000,,0.52
721,42400-37133002400,-0.89,-0.19
722,42400-37133001102,-0.72,-0.01
723,12457-13129970700,-0.68,-0.66
724,12457-13129970600,-1.03,-0.04
725,12457-13129970800,-0.35,-0.65
